itemid,boardid,userid,isSolvedTopic
38,4817,6313,0
15,7589,1355,1
46,9560,2926,1
16,11635,3985,1
38,13023,4163,0
16,14411,2926,0
16,17482,6200,0
16,20822,6313,0
17,23025,4114,0
55,26088,6313,0
16,28064,2926,1
16,32353,6200,1
38,32511,5043,0
16,38107,6200,0
38,39795,3987,0
38,39795,6114,0
16,40486,2926,1
16,41378,6009,1
16,42250,1365,0
15,44105,1713,0
38,45349,4163,0
40,46936,6009,0
16,49055,2651,1
15,49088,5654,0
15,49177,4429,0
15,49177,6009,0
29,50498,2558,0
16,53232,2316,1
38,53894,1673,0
16,59095,1527,0
25,62864,3985,0
44,63706,4163,0
15,63974,6107,1
16,69809,6200,0
29,72369,3235,0
15,74603,1673,0
29,79771,2831,1
16,80935,6313,1
18,88554,6351,0
38,88927,5485,1
16,89699,5043,0
25,90170,3672,1
33,93880,1056,0
15,100896,6009,1
17,102556,2316,0
15,104816,6009,1
46,105442,1334,1
38,109855,3987,0
25,116837,6480,0
40,119553,1673,0
15,119760,5595,0
15,123352,5387,1
16,123802,2316,1
16,126547,6486,0
16,127566,5485,0
25,128310,6480,1
16,129505,6313,1
15,129750,5456,0
16,132758,2625,0
15,133544,1056,1
50,136031,1790,1
33,136486,3664,1
16,136519,4114,0
16,137369,2080,0
46,137442,1545,1
50,138810,1673,1
38,138940,6114,1
16,139536,3985,0
16,139843,6009,0
50,140269,1673,0
16,140491,2831,0
50,141143,1013,1
50,141143,6107,1
16,141953,2718,1
41,142086,2408,1
41,143434,2408,0
50,143450,6479,1
50,144109,5596,0
50,146048,3985,0
41,147182,3373,1
50,147391,1673,0
50,148712,3336,1
15,149245,6359,1
16,149561,2222,1
38,152222,4641,1
50,152627,5015,1
31,153822,1673,1
50,154705,2093,0
17,154925,2718,1
17,154925,1628,1
17,154925,2718,1
17,154925,3733,1
50,156071,1981,1
22,158243,1365,1
41,158289,2408,0
41,159348,2408,0
16,161015,6200,1
43,162288,5640,0
46,163553,2898,1
50,165570,5015,1
15,166504,3985,1
16,167770,5485,1
15,169922,6200,1
38,170479,2831,1
41,171805,6313,0
46,176031,3432,0
15,176406,1673,0
15,179663,5654,0
38,181537,5640,0
38,181707,3733,0
16,182710,2442,0
16,183546,6114,1
38,184367,1365,1
50,184619,5015,0
18,186720,2831,1
50,186822,4216,1
50,186822,5595,1
50,186822,1604,1
22,191661,1365,1
41,193350,5093,0
17,194690,2316,1
50,195596,1628,0
50,195596,3555,0
22,196477,2831,0
25,196644,6480,1
46,197083,4216,0
47,197116,4216,0
55,198070,5062,0
41,198228,5093,0
46,198940,6189,1
41,199163,5093,0
41,200530,5093,0
41,200623,5093,0
41,201342,5093,1
41,201467,5093,0
41,202490,5093,0
22,203022,5485,0
16,203082,3898,1
41,203101,5093,1
50,203738,2937,1
25,203958,4774,0
25,203958,4860,0
25,206452,5387,0
15,207683,6434,0
33,207920,2718,1
46,209449,2831,1
50,210205,4264,0
22,210261,2898,0
29,211312,3664,0
38,213078,6313,1
38,215224,4187,0
41,215294,5093,0
16,215950,3898,1
16,216511,5292,1
16,217513,6313,0
16,217831,1673,0
15,218711,3117,0
186,221078,4137,0
186,221088,1110,0
186,221088,5595,0
186,221088,4137,0
186,221088,4254,0
186,221265,3198,0
186,221289,2831,0
186,221304,3198,0
127,221973,2397,0
186,223514,2408,0
186,223530,2408,0
186,223870,2718,0
186,225204,4137,0
